Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Fréquence de paiement du taux payé;Non renseigné;Fréquence à laquelle les intérêts sont payés (/calculés);Contrats;Paid Rate Payment Frequency Cd;TEC_CONTRACT;PD_RATE_PMT_FRQCY_CD
Devise montant comptable en French Gaap;Non renseigné;Non renseigné;Contrats;Fr GAAP Accounting Amt Currency Cd;TEC_CONTRACT;FR_GAAP_ACCNTG_AMT_CURY_CD
Devise montant Tranche - niveau 4;Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 4 Amt Currency Cd;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_4_AMT_CURY_CD
Montant capital restant dû;Non renseigné;Montant du capital restant dû;"Tranches ""OMP""";Capital Outstanding Amt;TEC_IFRS9_TRANCHE;CPTL_OUTST_AMT
Montant cours spot (euro);Non renseigné;Montant cours spot;Contrats;Spot Price Euro Amt;TEC_CONTRACT;SPOT_PRC_EURO_AMT
Position Actif ou Passif de l'encours à la juste valeur en normes IFRS;Non renseigné;Non renseigné;Contrats;Mark To Market Amt Liability Asset ind;TEC_CONTRACT;MK_TO_MKT_AMT_LIABTY_ASSET_IND
Devise montant nominal EPS;Non renseigné;Devise Montant nominal de l'engagement par signature;"Tranches ""OMP""";Letter Of Credit Nominal Amt Currency Cd;TEC_IFRS9_TRANCHE;LTR_OF_CR_NMNL_AMT_CURY_CD
Libellé du titre - Jambe emprunteuse;Non renseigné;Libellé associé à la référence du  sous-jacent titre de la jambe emprunteuse.;Contrats;Borrowing Leg Security Desc;TEC_CONTRACT;BORWG_LEG_SCURTY_DESC
Indicateur Produit Échéancé;Non renseigné;Indicateur produit échéancé;Contrats;Term Product Cd;TEC_CONTRACT;TERM_PROD_CD
Montant RA total en devise d'origine;Non renseigné;Montant total du remboursement anticipé depuis l'ouverture du contract;Contrats;Total Early Repayment Amt;TEC_CONTRACT;TOT_EARLY_RPMT_AMT
PCCO montant MtM - Jambe empr.;Non renseigné;Numéro du poste comptable PCCO du MtM de la jambe emprunteuse;Contrats;Borrowing Leg MtM Amt COA Cd;TEC_CONTRACT;BORWG_LEG_MTM_AMT_COA_CD
Identifiant de la ligne d'autorisation;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Lignes d'autorisation;Authorization Line Id;TEC_AUTORIZATION_LINE;AUTHZTN_LN_ID
Numéro d'ordre;Non renseigné;"Rubrique permettant d'identifier le numéro de l'opération en cas de sous produits  composant un même Contract (PEP feuillet/feuillet; DAT)
Numéro d'ordre for les DAT.";Contrats;Order Num;TEC_CONTRACT;ORD_NUM
Solde compte courant associé;Non renseigné;Solde du compte courant d'associé;Contrats;Related Current Account Balance Amt;TEC_CONTRACT;RLTD_CUR_ACCT_BAL_AMT
Montant loyers;Non renseigné;Montant des loyers;Contrats;Agreement Asset Leasing Amt;TEC_CONTRACT;AGMT_ASSET_LEASG_AMT
Montant Coupons courus non échus des titres reçus en garantie (euro);Non renseigné;Non renseigné;Garanties reçues;Received Collateral Investment Product Non Expired Coupon Euro Amt;TEC_RECEIVED_GUARANTEE;RECVD_CLTRL_INVSTMT_PRD_NEXP_CPN_EURO_AMT
Type d’option 1;Non renseigné;Option 1 contractuelle offerte aux clients permettant de faire une pause dans un crédit RB0734;Contrats;Option 1 Type Cd;TEC_CONTRACT;OPTN_1_TYPE_CD
Pays de résidence du siège social;Non renseigné;Code ISO du pays;Tiers;Registered Office Country Cd;TEC_PARTY;RGSTRD_OFFC_CTRY_CD
Coût de l'option (euro);Non renseigné;Marge ajoutée à l’index sur le palier en cours pour obtenir le taux de cession interne au contrat lorsque le taux est révisable capé;Contrats;Option Euro Amt;TEC_CONTRACT;OPTN_EURO_AMT
Devise du montant initial de l'option;Non renseigné;Non renseigné;Contrats;Initial Option Amt Currency Cd;TEC_CONTRACT;INIT_OPTN_AMT_CURY_CD
Identifiant regroupement;Non renseigné;Identifiant permettant de regrouper plusieurs objets de type ‘autorisation - crédit ’ afin de matérialiser le fait qu’elles sont issues d’un même dossier de financement.;Autorisation;Grouping Id;TEC_AUTORIZATION;GRPG_ID
Encours à Date d'arrêté en devise - Jambe pay.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Outstanding Amt;TEC_CONTRACT;BORWG_LEG_OUTST_AMT
Coût initial (euro);Non renseigné;Non renseigné;Contrats;Initial Operation Cost Euro Amt;TEC_CONTRACT;INIT_OPRTN_COST_EURO_AMT
Périodicité révision taux;Non renseigné;La périodicité de révision d’un crédit à taux variable est la fréquence de révision du taux du prêt. Elle est à renseigner pour les prêts autres que prêts à taux fixe, y compris lorsque le prêt est sur la dernière période.;Contrats;Rate Review Periodicity Cd;TEC_CONTRACT;RATE_RVW_PERIODCITY_CD
Devise résultat net retraité en euros;Non renseigné;Code devise du résultat net retraité en euros;Tiers;Reworked Net Profit Amt Currency Cd;TEC_PARTY;RWORKED_NP_AMT_CURY_CD
Indicateur qualité actif immobilier;Non renseigné;Qualité de l'actif immobilier;Garanties reçues;Real Estate Asset Quality Ind;TEC_RECEIVED_GUARANTEE;REAL_ESTAT_ASSET_QLTY_IND
Identifiant contrat parent;Non renseigné;"Permet d'identifier de manière unique le contrat parent dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Aggregated Agreement Id;TEC_CONTRACT;AGGD_AGMT_ID
Maturité effective méthode IMM;Non renseigné;Maturité effective méthode IMM;Contrats;IMM Effective Maturity Val;TEC_CONTRACT;IMM_EFF_MATURTY_VAL
Encours à Date d'arrêté en devise - Jambe Rec.;Non renseigné;Non renseigné;Contrats;Lending Leg Outstanding Amt;TEC_CONTRACT;LENDG_LEG_OUTST_AMT
Numéro compte local (PCI) de l'encours (devise vendue) en IFRS;Non renseigné;Non renseigné;Contrats;Lending Leg Outstanding Amt COAI Cd;TEC_CONTRACT;LENDG_LEG_OUTST_AMT_COAI_CD
Coût historique de la position;Non renseigné;Coût historique de la position hors frais;Contrats;Historical Amt;TEC_CONTRACT;HSTCL_AMT
Indicateur de gestion centralisée du tiers principal;Non renseigné;"Permet d'indiquer que le Tiers est géré en central
Si tel est le cas (indicateur = Y), l'identifiant du tiers sera l'identifiant central sinon il s'agira de l'identifiant local du tiers
Valeurs possibles : Y, N";Contrats;Principal Party Ref TIGRE Ind;TEC_CONTRACT;PRNCPAL_PRTY_REF_TIGRE_IND
Date limite initialisation tirage;Non renseigné;Date limite d'initialisation d'un tirage.;Autorisation;Drawing Deadline Dt;TEC_AUTORIZATION;DRWG_DEADLN_DT
Date de la dernière restructuration commerciale;Non renseigné;Date de dernière restructuration commerciale;Contrats;Last Business Remediation Plan Dt;TEC_CONTRACT;LAST_BUSN_REMDTN_PLN_DT
Entité rattachée au Tiers Chambre de compensation;Non renseigné;Entité rattachée au Tiers Chambre de compensation;Contrats;Clearing House Party Entity Id;TEC_CONTRACT;CLEARING_HOUSE_PRTY_ENT_ID
Identifiant véhicule titrisation;Non renseigné;Identifiant du Fond Commun de Tritrisation (FCT) dans le Référentiel Crédit Agricole SA / FIN;Contrats;Special Purpose Vehicle Id;TEC_CONTRACT;SPL_PRPS_VEH_ID
Classe de collecte;Non renseigné;Permet d'identifier le type de produit de collecte;Contrats;Cash Management Product Cd;TEC_CONTRACT;CSH_MGMT_PROD_CD
Entité rattachée au tiers émetteur;Non renseigné;Non renseigné;Garanties reçues;Issuer Party Entity Id;TEC_RECEIVED_GUARANTEE;ISSUR_PRTY_ENT_ID
Note NAFA;Non renseigné;"Note attribuée par le système interne/local  de notation de l'entité
Il peut s'agir aussi d'un GRADE (regroupement de notes)";Tiers;NAFA Grade Val;TEC_PARTY;NAFA_GRADE_VAL
Devise seuil montant minimum transfert;Non renseigné;Devise du seuil du montant minimum de transfert;Contrats;Margin Call Transfert Minimal Amt Currency Cd;TEC_CONTRACT;MRGN_CALL_TFRT_MINIMAL_AMT_CURY_CD
Montant Tranche bâloise - niveau 2 corrigé;Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 2 Corrected Amt;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_2_CRCTD_AMT
Montant interets dûs échéance;Non renseigné;Montant des intérêts dûs de l'échéance en devise d'origine;Echéanciers;Schedule Interest Amt;TEC_SCHEDULE;SCHD_INT_AMT
Montant initial global (euro);Non renseigné;Montant initial global toutes banques toutes tranches confondues en contrevaleur euro;Autorisation;Global Original Euro Amt;TEC_AUTORIZATION;GLOBL_ORIGNL_EURO_AMT
Indicateur Post/pré fixé en début de contrat;Non renseigné;Non renseigné;Contrats;Initial Pre Post Set Ind;TEC_CONTRACT;INIT_PRE_POST_SET_IND
Montant Tranche bâloise- niveau 4 corrigé;Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 4 Corrected Amt;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_4_CRCTD_AMT
Montant révisé contrat;Non renseigné;"Le montant initial peut être révisé dans le cadre des procédures de revalorisation
Dans le cas des sûretés, il n'intègre pas les décotes réglementaires";Autorisation;Revised Amt;TEC_AUTORIZATION;RVSD_AMT
Montant bien a octroi;Non renseigné;Montant initial du bien financé / loué;Contrats;Granting Asset Value Amt;TEC_CONTRACT;GRNTNG_ASSET_VAL_AMT
Montant fonds remis (euro);Non renseigné;Montant exprimé en devise d'orgine  qui correspond au cumul des fonds mis à la disposition du client. Ce montant évolue à chaque déblocage de fonds dans le cas de réalisations fractionnées et devient invariant lors de la réalisation soldante. Par définition, il est toujours inférieur ou égal au montant du prêt accordé.;Contrats;Provided Funds Euro Amt;TEC_CONTRACT;PRVDD_FUNDS_EURO_AMT
Numéro Compte PCCO Encours en norme IFRS (dev vendue);Non renseigné;Numéro de compte PCCO de l'encours en norme IFRS (devise vendue);Contrats;Lending Leg Outstanding Amt COA Cd;TEC_CONTRACT;LENDG_LEG_OUTST_AMT_COA_CD
Code PCCO intérêts restants dûs;Non renseigné;Numéro du poste comptable PCCO des intérêts restant dûs;Contrats;Interest Outstanding Amt COA Cd;TEC_CONTRACT;INT_OUTST_AMT_COA_CD
Mode d'utilisation du taux;Non renseigné;Type de taux;Contrats;Rate Type Cd;TEC_CONTRACT;CUR_RATE_TYPE_CD
Montant Intérêts payés ou capitalisés - Jambe prêt.;Non renseigné;Montant des intérêts payés ou capitalisés dans le mois en devise - Jambe prêteuse;Contrats;Lending Leg Paid Interest Amt;TEC_CONTRACT;LENDG_LEG_PD_INT_AMT
Indicateur re titrisation;Non renseigné;Ce champ permet d’indiquer si la titrisation fait l’objet d’une re-titrisation  (CRD 3);Contrats;Resecuritization Ind;TEC_CONTRACT;RESCURTZN_IND
Devise Montant Nominal des titres - Jambe empr.;Non renseigné;Devise d'expression montant du nominal  des titres de la jambe emprunteuse.;Contrats;Borrowing Leg Investment Product Nominal Amt Currency Cd;TEC_CONTRACT;BORWG_LEG_INVSTMT_PROD_NMNL_AMT_CURY_CD
Référence locale tiers;Non renseigné;Référence unique du tiers dans le système de gestion local de l'entité;Tiers;Host Party Num;TEC_PARTY;HOST_PRTY_NUM
Montant Echéance en cours (euro);Non renseigné;Non renseigné;Paliers;Payment Euro Amt;TEC_SCHEDULE_STAGE;PMT_EURO_AMT
Date ouverture contrat;Non renseigné;"Date contractuelle de début d'engagement
Il peut s'agir, par exemple, de la date d'octroi du crédit (date de début  de validité de la ligne d'autorisation octroyée - date à l'origine) ou de la date de début d'effet de la sûreté";Autorisation;Open Dt;TEC_AUTORIZATION;OPN_DT
Niveau intra-groupe (tranche baloise);Non renseigné;Niveau d'intra-groupe de la garantie personnelle;"Tranches ""OMP""";Intra Group Ind;TEC_IFRS9_TRANCHE;INTRA_GRP_IND
Notation externe du titre;Non renseigné;Il s'agit de la notation externe par une agence de notation du titre (possibilité d'utiliser une des 3 agences fitch, S&P et Moody's);Contrats;Security External Rating Val;TEC_CONTRACT;SCURTY_EXTR_RTG_VAL
Indicateur marque brevet déposé;Non renseigné;Indicateur permettant de préciser si la marque ou le brevet inscrit au titre de sûreté fait l'objet d'une inscription/ dépôt au registre national des brevets du pays mentionné en M1 8.12.;Garanties reçues;Patent Issued Ind;TEC_RECEIVED_GUARANTEE;PTNT_ISSUD_IND
Indicateur passage défaut;Non renseigné;Cet indicateur permet d’identifier les engagements entrés en défaut (douteux  ou impayés prudentiels) depuis le dernier arrêté trimestriel.;Contrats;Default Ind;TEC_CONTRACT;DFLT_IND
Devise montant ajustement valeur;Non renseigné;Devise du montant d'ajustement de valeur;Contrats;Valuation Adjustment Amt Currency Cd;TEC_CONTRACT;VALUT_ADJSTMT_AMT_CURY_CD
Identifiant tiers;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Tiers;Party Id;TEC_PARTY;PRTY_ID
Durée totale du prêt (en mois);Non renseigné;"Durée réelle du prêt à date BDF (PR27)
Durée théorique du prêt après modification de la durée initiale. Cette durée est exprimée en mois.
S'il n'y a pas eu de modification (réaménagement÷) la valeur est identique à celle de la rubrique durée initiale du prêt.
La durée de la période d’anticipation est également prise en compte dans cette rubrique.
A l’octroi du crédit, la rubrique est renseignée en intégrant la durée maximum de la phase d’anticipation.
Une fois la phase d’anticipation terminée, la rubrique est modifiée et correspond à la durée d’amortissement du crédit, la durée réelle d’anticipation n’est pas ajoutée.";Contrats;Duration Num;TEC_CONTRACT;DURTN_NUM
Emetteur;Non renseigné;Emetteur du titre;Contrats;Security Issuer Name;TEC_CONTRACT;SCURTY_ISSUR_NAME
Montant révisé contrat (euro);Non renseigné;Non renseigné;Autorisation;Revised Euro Amt;TEC_AUTORIZATION;RVSD_EURO_AMT
Devise montant des Intérêts payés ou capitalisés;Non renseigné;Code devise montant des Intérêts payés ou capitalisés dans le mois;Contrats;Paid Interest Amt Currency Cd;TEC_CONTRACT;PD_INT_AMT_CURY_CD
Devise restriction ligne autorisation;Non renseigné;Permet de préciser une devise ou un panier de devise autorisé pour l'utilisation de la ligne.;Lignes d'autorisation;Facility Authorized Currency Cd;TEC_AUTORIZATION_LINE;FAC_AUTHZD_CURY_CD
Montant PNU;Non renseigné;Montant PNU;"Tranches ""OMP""";Undrawn Amt;TEC_IFRS9_TRANCHE;UNDRWN_AMT
Partenaire de consolidation;Non renseigné;Code entité (de conso) du tiers;Contrats;Partner Cd;TEC_CONTRACT;PRTNR_CD
Montant encours surendettement;Non renseigné;Montant d'Encours en Surendettement;Contrats;Over Indebted Amt;TEC_CONTRACT;OVR_INDEBTED_AMT
Montant RA  sur le mois en devise d'origine;Non renseigné;Montant du remboursement anticipé sur le mois;Contrats;Month Early Repayment Amt;TEC_CONTRACT;MTH_EARLY_RPMT_AMT
Date d'arrêté;Non renseigné;Date d'arrêté;Autorisation;Statement Dt;TEC_AUTORIZATION;STTM_DT
Achat en fin de contrat du bien loué;Non renseigné;Achat en fin de contrat du bien loué;Contrats;Agmt Asset Lease Purchase Likelihood Cd;TEC_CONTRACT;AGMT_ASSET_LEAS_PRCH_LKLHOOD_CD
Indicateur opinion juridique;Non renseigné;Indicateur de l'opinion juridique;Contrats;Legal Opinion Ind;TEC_CONTRACT;LEGL_OPNIN_IND
Montant Résultat net retraité (euro);Non renseigné;Résultat net retraité en euros  par nature (pourquoi contrevalorisé ?);Tiers;Reworked Net Profit Euro Amt;TEC_PARTY;RWORKED_NP_EURO_AMT
Objet Métier;Non renseigné;Type d’enregistrement dans la création de la ligne en base (ex : P3C);Autorisation;Flow Type Cd;TEC_AUTORIZATION;FLOW_TYPE_CD
Entité rattachée au Tiers Emetteur;Non renseigné;Entité rattachée au Tiers Emetteur;Contrats;Issuer Entity Id;TEC_CONTRACT;ISSUR_ENT_ID
Pourcentage couverture risque politique;Non renseigné;Pourcentage de couverture du risque politique;Garanties reçues;Political Risk Coverage Rate;TEC_RECEIVED_GUARANTEE;POLTCL_RISK_CVGE_RATE
Type risque;Non renseigné;Classification de l'opération selon la nomenclature risque.;Lignes d'autorisation;Risk Type Cd;TEC_AUTORIZATION_LINE;RISK_TYPE_CD
Date de dernier réaménagement;Non renseigné;Date à laquelle il y a eu une renégociation des conditions du prêt consenti par l'établissement prêteur.;Contrats;Credit Modification Last Dt;TEC_CONTRACT;CR_MODFN_LAST_DT
Code ISIN des titres - Jambe prêt.;Non renseigné;Code ISIN des titres;Contrats;Lending Leg Investment Product ISIN Cd;TEC_CONTRACT;LENDG_LEG_INVSTMT_PROD_ISIN_CD
Devise montant EAD IMM;Non renseigné;Devise montant EAD IMM;Contrats;IMM EAD Amt Currency Cd;TEC_CONTRACT;IMM_EAD_AMT_CURY_CD
Identifiant entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";Tiers;Entity Id;TEC_PARTY;ENT_ID
Période liquidation titres;Non renseigné;Délai minimal nécessaire à la liquidation des titres, exprimé en nombre de jours.;Garanties reçues;Security Liquidation Period Cd;TEC_RECEIVED_GUARANTEE;SCURTY_LQDTN_PRD_CD
Date dernier fixing - Jambe empr.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Fixing Last Dt;TEC_CONTRACT;BORWG_LEG_FIXG_LAST_DT
Montant Part de financement garanti par créances acheteurs (euro);Non renseigné;Montant de la part de financement garanti par des créances acheteurs;Contrats;Debt Receivable Collateralized Euro Amt;TEC_CONTRACT;DEBT_RECVBL_CLTRLZD_EURO_AMT
Encours à Date d'arrêté en devise d'origine;Non renseigné;Encours à la Date d'arrêté en devise d'origine en NF;Contrats;Outstanding Amt;TEC_CONTRACT;OUTST_AMT
Identifiant du Tiers principal;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Principal Party Id;TEC_CONTRACT;PRNCPAL_PRTY_ID
Date sortie créance période purgatoire;Non renseigné;Date de sortie (réelle ou théorique) de la créance FORBORN en  «purgatoire». (correspond au dernier changement de statut);Contrats;Purgatory Period End Dt;TEC_CONTRACT;PRGTR_PRD_END_DT
Intention gestion;Non renseigné;Classification de l'opération dans le Portefeuille Bancaire (Banking) ou Négociation (Trading) selon les normes Bâle.;Contrats;Purchase Intent Cd;TEC_CONTRACT;PRCH_INTNT_CD
Devise montant part en trésorerie tranche en cours;Non renseigné;Non renseigné;Autorisation;Current Tranche Cash Part Amt Currency Cd;TEC_AUTORIZATION;CUR_TRNCH_CSH_PRT_AMT_CURY_CD
Usage du bien en garanti/immobilier/immobilier financé;Non renseigné;Usage du bien immobilier;Contrats;Real Estate Destination Cd;TEC_CONTRACT;REAL_ESTAT_DEST_CD
Complexité produit;Non renseigné;Permet de distinguer les produits vanille et les produits exotiques;Contrats;Product Complexity Cd;TEC_CONTRACT;PROD_CMPLXY_CD
Date début période;Non renseigné;Date du début de la période de calcul d'intérêts;Echéanciers;Schedule Start Dt;TEC_SCHEDULE;SCHD_STRT_DT
Devise prix unitaire historique du titre;Non renseigné;Devise dans laquelle le contrat a été signé/code devise du prix unitaire historique du titre;Contrats;Security Unitary Historical Amt Currency Cd;TEC_CONTRACT;SCURTY_UNITRY_HSTCL_AMT_CURY_CD
Taux client;Non renseigné;"Taux du flux d'intérêt de l'échéance
Taux facturé au client, càd comprenant le spread et le coût de l'option éventuelle";Contrats;Customer Rate;TEC_CONTRACT;CUST_RATE
Taux PD garant;Non renseigné;PD du garant;"Tranches ""OMP""";Guarantor PD Rate;TEC_IFRS9_TRANCHE;GUARTR_PD_RATE
Indicateur syndication;Non renseigné;Indicateur permettant de préciser s'il s'agit d'une syndication;Autorisation;Syndication Ind;TEC_AUTORIZATION;SYNDN_IND
Montant MTM pied coupon;Non renseigné;Montant MTM pied coupon;Contrats;Base Coupon MtM Amt;TEC_CONTRACT;BASE_COUPN_MTM_AMT
Usage du bien en garantie;Non renseigné;Usage du bien immobilier;Garanties reçues;Real Estate Destination Cd;TEC_RECEIVED_GUARANTEE;REAL_ESTAT_DEST_CD
Rates effectif au sens étroit;Non renseigné;"Le TESE est défini comme étant le Rates d'intérêt, annualisé, qui égalise le montant initial de l'opération avec la valeur actuelle de l'ensemble des engagements autres que les charges (dépôts ou crédits, versements ou remboursements, versements d'intérêt), existants ou futurs, pris par les agents déclarants et le ménage ou la société non financière.
La seule différence entre le TESE et le Rates contractuel annualisé est la méthode de base adoptée pour annualiser les versements d'intérêts. Le calcul du TESE fait appel à des itérations successives et peut donc s'appliquer à tout type de dépôt ou de crédit, tandis que celui du Rates contractuel annualisé s'appuie sur la formule algébrique définie au point 2 et ne s'applique par conséquent qu'aux seuls dépôts et crédits dont les versements d'intérêts sont régulièrement capitalisés.";Contrats;Narrow Sense Effective Interest Rate;TEC_CONTRACT;NARROW_SENSE_EFF_INT_RATE
Nature du sous-jacent - Jambe emprunteuse;Non renseigné;Ce champ permet d’identifier la nature du sous-jacent de la jambe emprunteuse et de déterminer la décote relative à l’exposition;Contrats;Borrowing Leg Underlying Investment Product Nature Cd;TEC_CONTRACT;BORWG_LEG_UNDRLY_INVSTMT_PROD_NATR_CD
Montant comptable  (devise) (IFRS);Non renseigné;Montant nominal + ICNE - Dépréciation;Contrats;IFRS Accounting Amt;TEC_CONTRACT;IFRS_ACCNTG_AMT
Entité hors groupe CA pilote - identifiant local;Non renseigné;Identifiant local du tiers pilote  - hors Groupe CA  - de l'opération dans le système local utilisé pour générer le CRR.;Autorisation;Syndication contract Id;TEC_AUTORIZATION;SYNDN_CNTRCT_ID
Montant total du Réaménagement (euro);Non renseigné;"Montant total des réaménagements depuis le début de vie du contract : 
Somme des montant des réaménagements des contracts sur tous les mois depuis le début du contract le plus ancien";Contrats;Total Modification Euro Amt;TEC_CONTRACT;TOT_MODFN_EURO_AMT
Montant Contrat à l'origine;Non renseigné;Montant global initial;Autorisation;Agreement Original Amt;TEC_AUTORIZATION;AGMT_ORIGNL_AMT
Montant notionnel jambe vendue;Non renseigné;Montant du notionnel de la jambe vendue;Contrats;Sell Leg Nominal Amt;TEC_CONTRACT;SEL_LEG_NMNL_AMT
Position bilan;Non renseigné;Bilan comptable : précise si l'encours est positionné à l'actif ou au passif dans la présentation des comptes en norme IFRS;Contrats;Asset Liability Ind;TEC_CONTRACT;ASSET_LIABTY_IND
Montant découvert (euro);Non renseigné;Montant du découvert en euros;"Tranches ""OMP""";Overdraft Balance Euro Amt;TEC_IFRS9_TRANCHE;OVRDRFT_BAL_EURO_AMT
Date d'arrêté;Non renseigné;Date d'arrêté;Lignes d'autorisation;Statement Dt;TEC_AUTORIZATION_LINE;STTM_DT
Nombre d'échéances;Non renseigné;Nombre d'échéances total associé à l'opération;Echéanciers;Schedule Nb;TEC_SCHEDULE;SCHD_NB
Identifiant entité;Non renseigné;"Code de l’entité propriétaire de la donnée
";Entités et pôles;Entity Id;TEC_ENTITY;ENT_ID
Niveau d'intragroupe;Non renseigné;Non renseigné;Garanties reçues;Intragroup Level Cd;TEC_RECEIVED_GUARANTEE;INTRAGRP_LVL_CD
Droits à crédit disponibles;Non renseigné;Montant droits à crédit disponibles à date d'arrêté;Contrats;Credit Eligible Amt;TEC_CONTRACT;CR_ELGBL_AMT
Identifiant du tiers ECU;Non renseigné;Non renseigné;Tiers;Party ECU Id;TEC_PARTY;PRTY_ECU_ID
Mode de cotation;Non renseigné;Type de cotation du titre;Contrats;Quotation Method Cd;TEC_CONTRACT;QUOTN_METH_CD
Libellé APE interne;Non renseigné;"Libellé du code APE utilisé en interne.  
Peut-être corrigé par rapport au code officiel INSEE, lorsque ce dernier ne correspond pas à la réalité  économique";Tiers;Internal APE Lb;TEC_PARTY;INTRNL_APE_LB
Code inclusion Niveau 4;Non renseigné;Non renseigné;Entités et pôles;Included Level 4 Cd;TEC_ENTITY;INCLD_LVL_4_CD
Pays de juridiction du contrat;Non renseigné;Code du pays de juridiction du contrat;Contrats;Jurisdiction Country Cd;TEC_CONTRACT;JURIS_CTRY_CD
Option call put;Non renseigné;Indicateur permettant de préciser si l'option est de nature Call ou Put;Contrats;Option Put Call Type Cd;TEC_CONTRACT;OPTN_PUT_CALL_TYPE_CD
Montant Tranche bâloise - niveau 4 (euro);Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 4 Euro Amt;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_4_EURO_AMT
Montant EAD IMM Stressé (euro);Non renseigné;montant EAD IMM Stressé (LC.0005);Contrats;Stressed IMM EAD Euro Amt;TEC_CONTRACT;STRSSED_IMM_EAD_EURO_AMT
Objet Métier;Non renseigné;Type d’enregistrement dans la création de la ligne en base (ex : P3C);"Tranches ""OMP""";Flow Type Cd;TEC_IFRS9_TRANCHE;FLOW_TYPE_CD
TCI Composante Optionnelle;Non renseigné;Non renseigné;Contrats;Internal Transfert Price - Optional Component Rate;TEC_CONTRACT;INTRNL_TFRT_PRC_OPTL_COMPT_RATE
Montant valeur estimée bien loué fin période (euro);Non renseigné;Montant de la Valeur estimé en fin de période du bien loué en euros;"Tranches ""OMP""";Agmt Asset Lease Residual Euro Amt;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEAS_RSDUL_EURO_AMT
Indicateur prêt revolving roll over;Non renseigné;Indicateur permettant de préciser si le prêt est de caractère 'Revolving' ou 'Roll-over'.;Contrats;Revolving Roll Over Ind;TEC_CONTRACT;RVLVG_RL_OVR_IND
CRD à date d’arrêté (euro);Non renseigné;Correspond à l’encours à date d’arrêté du contrat, il est exprimé dans la devise d’origine du contrat. Pour les contrats non démarré, correspond au nominal initial.;Contrats;Capital Outstanding Euro Amt;TEC_CONTRACT;CPTL_OUTST_EURO_AMT
INDUSTRY_SECTOR;Non renseigné;Code du secteur d’activité du tiers.;Tiers;Business Type Cd;TEC_PARTY;BUSN_TYPE_CD
Identifiant local contrat;Non renseigné;Identifiant technique local du contrat;Lignes d'autorisation;Host Authorization Line Id;TEC_AUTORIZATION_LINE;HOST_AUTHZTN_LN_ID
Périmètre du flux;Non renseigné;Non renseigné;Echéanciers;Flow Scope Cd;TEC_SCHEDULE;FLOW_SCOPE
Type acteur tiers initial;Non renseigné;Type d'acteur du tiers initial;"Tranches ""OMP""";Original Counterparty Actor Type Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_ACTR_TYPE_CD
Prochaine date de fixing - Jambe prêteuse;Non renseigné;Non renseigné;Contrats;Lending Leg Fixing Next Dt;TEC_CONTRACT;LENDG_LEG_FIXG_NXT_DT
Devise coupons non échus;Non renseigné;Devise d'expression des coupons;Contrats;Non Expired Coupon Amt Currency Cd;TEC_CONTRACT;NON_EXPRD_COUPN_AMT_CURY_CD
Indicateur collatéral reçu - Jambe emprunteuse;Non renseigné;Indique si l'actif constitue un collatéral obtenu d'une autre contrepartie jambe emprunteuse -besoin asset encumbarnce;Contrats;Borrowing Leg Received Collateral Ind;TEC_CONTRACT;BORWG_LEG_RECVD_CLTRL_IND
Entité rattachée au Tiers en risque;Non renseigné;Non renseigné;Garanties reçues;Risk Party Entity Id;TEC_RECEIVED_GUARANTEE;RISK_PRTY_ENT_ID
Entité rattachée au Tiers Principal;Non renseigné;Entité rattachée au Tiers Principal;Autorisation;Principal Party Entity Id;TEC_AUTORIZATION;PRNCPAL_PRTY_ENT_ID
Indicateur seniorité;Non renseigné;Indicateur séniorité de la dette;Autorisation;Seniority Level Cd;TEC_AUTORIZATION;SRY_LVL_CD
Montant Retraits anticipés;Non renseigné;Montant des retraits anticipés en devise d'origine;Contrats;Early Withdrawal Amt;TEC_CONTRACT;EARLY_WDRWL_AMT
